3  60  3   3  3  2  3


13	5	37
5	33	3
18	16	2
4	18	26
32	39	28
3	4	36
11	25	30
16	5	26
34	14	26
20	17	39
3	7	22
23	26	5
31	5	23
4	12	28
27	4	29
20	39	27
1	21	24
15	38	7
20	26	26
12	11	15
27	10	12
32	27	40
30	29	4
11	19	38
22	15	32
11	36	13
30	22	9
15	1	8
12	12	36
18	18	26
15	22	27
17	6	17
4	20	36
2	11	16
8	11	32
32	13	4
17	40	28
18	3	14
37	13	20
12	35	6
32	7	7
26	3	24
33	5	31
25	36	2
14	37	40
6	12	20
38	22	27
31	21	31
29	34	21
19	19	26
5	25	25
17	4	28
23	29	8
29	39	6
11	13	28
37	7	19
2	34	14
11	12	32
7	15	7
38	28	25
