3  60 3  3   3  4  2

12	9	24
39	19	36
38	26	26
14	32	27
26	13	26
11	37	35
38	11	33
17	27	11
38	27	3
5	20	14
12	29	8
20	25	24
40	6	39
30	19	9
12	5	32
6	21	7
31	37	10
2	23	32
1	22	10
14	33	4
18	17	36
24	7	7
9	23	7
5	32	33
15	9	11
1	35	8
8	13	24
13	37	8
26	21	27
4	25	29
7	21	26
26	23	33
28	13	18
34	8	2
13	5	28
10	29	21
40	4	5
35	38	2
7	28	13
5	38	23
12	38	2
7	6	38
22	8	29
2	13	21
21	17	20
4	12	18
12	38	5
39	32	23
24	21	5
26	4	9
20	31	15
39	2	15
24	3	29
9	18	35
33	22	18
36	19	23
11	35	33
31	13	14
27	22	29
37	18	38
