3  60   3   3  2  3  2

13	26	22
17	15	8
39	12	13
26	5	33
23	36	37
36	8	26
38	23	16
15	39	6
33	35	28
33	5	34
7	32	28
20	15	11
34	21	3
30	30	25
10	28	23
25	22	39
6	15	2
19	17	26
26	39	8
20	5	36
22	2	36
20	29	34
18	23	34
29	26	32
26	18	6
24	9	2
28	39	37
31	29	13
3	19	11
26	18	24
27	17	18
27	14	32
19	2	37
38	19	6
7	29	20
23	10	7
5	35	34
16	17	17
32	34	25
7	24	10
13	29	35
12	40	10
28	12	25
13	3	33
6	20	9
32	24	20
38	18	28
24	30	24
33	7	3
25	34	10
14	19	5
8	39	30
34	38	20
3	29	11
5	9	19
18	14	28
29	28	39
15	34	2
39	18	35
7	37	37
