5  100  3  3   3  4  2

22	39	17
28	37	8
19	10	37
31	40	17
18	35	3
5	31	29
40	2	1
14	22	22
30	20	36
15	16	31
30	7	2
31	36	31
22	30	8
35	2	21
12	32	16
35	6	23
20	10	9
40	35	27
37	26	29
28	35	33
25	2	37
23	38	29
21	8	15
40	22	24
14	15	25
1	15	12
16	15	1
35	22	14
2	33	34
37	29	38
3	15	2
26	30	37
35	18	24
31	19	3
32	11	15
28	33	15
5	36	37
30	24	20
21	33	11
2	28	32
23	28	10
27	15	38
7	23	18
30	35	36
5	5	39
32	8	23
9	24	36
13	33	3
39	38	13
31	28	2
8	9	16
28	12	8
25	9	15
3	31	6
2	25	10
23	18	10
5	18	39
39	28	22
24	3	22
11	21	31
26	15	3
30	7	31
6	24	34
13	29	16
30	1	37
28	10	11
26	38	25
11	6	28
18	40	3
26	25	27
28	7	6
4	35	23
33	31	33
3	1	4
29	5	18
3	22	14
14	5	20
40	25	32
17	31	7
13	39	29
28	31	31
21	8	28
35	13	2
24	39	34
23	32	20
16	34	31
16	38	35
37	13	28
11	40	30
19	39	5
40	35	31
20	27	18
35	40	35
25	1	9
35	39	12
28	35	10
40	28	38
22	25	1
28	15	27
24	39	11  
