5  100  3   3   2  3  4
34	7	34
20	39	14
22	1	34
37	8	24
34	16	19
11	40	23
10	39	8
36	30	37
26	18	9
40	29	28
13	20	2
37	37	25
30	30	31
34	20	3
6	33	21
38	7	7
6	38	32
22	38	4
14	37	37
17	27	8
31	32	33
12	26	2
27	30	25
34	28	13
17	3	39
24	1	20
37	10	27
16	25	38
18	17	9
34	13	29
18	36	2
16	26	31
13	7	30
3	3	32
33	29	1
28	13	33
13	24	2
4	4	37
18	31	22
37	36	27
8	22	31
22	25	1
27	40	29
15	22	12
7	29	11
36	22	36
22	31	18
10	22	35
7	1	32
38	34	17
5	7	13
7	19	9
28	17	11
32	9	15
29	6	35
8	17	2
32	31	28
4	39	23
35	14	32
3	27	11
31	16	25
29	11	7
32	25	14
25	33	26
32	37	40
9	17	18
14	21	5
28	40	19
13	1	33
3	17	33
38	5	4
19	35	31
24	38	3
22	37	28
38	28	18
20	26	13
29	4	40
18	37	7
23	7	13
5	9	27
7	30	15
6	2	36
6	40	23
6	29	27
9	17	35
25	27	40
23	1	28
26	4	10
23	34	21
31	1	32
14	18	7
33	40	8
36	13	17
6	4	31
4	12	20
26	36	4
23	37	19
24	3	24
38	1	13
18	30	37
