5  100  2 2   3  4
35	26
13	21
31	26
3	1
9	35
22	23
6	39
33	32
34	31
17	36
28	35
30	18
36	15
14	17
26	26
33	26
39	33
24	18
15	2
39	36
27	34
3	33
40	15
23	4
15	32
29	39
2	33
6	11
5	28
2	18
31	19
12	9
18	9
28	34
32	14
37	24
12	40
3	20
1	11
22	22
18	39
12	3
36	16
23	5
35	1
35	24
7	25
32	30
21	8
39	38
30	1
22	23
16	14
21	35
14	7
17	5
25	40
1	14
10	36
25	33
25	24
31	10
33	16
19	29
2	38
15	4
18	21
3	30
34	1
29	3
1	27
31	4
37	13
13	25
40	19
35	19
32	23
14	5
33	12
15	9
37	12
3	35
40	31
16	17
33	13
25	6
8	32
15	36
4	5
38	19
21	25
32	15
17	5
5	27
38	6
4	12
31	19
38	34
7	26
7	26
