5  100  2  2  2  3

16	25
27	23
30	32
9	30
3	25
31	36
28	14
29	2
32	14
23	39
16	33
4	2
20	22
3	20
40	14
20	13
12	29
28	9
17	16
7	27
9	10
9	21
4	7
27	16
33	6
20	18
31	14
15	34
15	3
16	15
22	37
21	5
10	28
21	36
25	36
33	15
5	13
14	8
28	19
3	1
31	24
16	24
29	40
28	12
18	25
24	29
12	40
22	11
13	17
27	9
1	12
9	20
8	36
21	3
21	22
6	34
17	4
13	34
28	7
2	16
38	33
23	28
6	20
33	14
2	28
25	31
10	32
33	2
25	30
20	5
18	26
7	15
24	40
1	22
17	29
32	15
15	2
13	31
7	18
11	36
26	16
23	13
40	20
19	40
28	18
21	30
29	9
36	37
26	20
20	10
34	17
14	19
40	11
12	10
30	5
4	35
13	10
24	28
21	39
7	10
