4  80   2  2  3  3
40	14
6	15
36	17
39	19
22	13
25	22
24	22
38	38
19	31
23	36
3	13
9	17
24	23
25	20
40	20
20	38
39	21
22	13
28	36
38	9
34	20
23	22
29	13
20	27
13	13
2	14
20	16
11	38
17	2
37	1
28	39
9	9
24	33
27	24
32	24
39	15
37	25
15	5
31	28
37	39
25	21
30	6
40	31
3	24
6	6
40	31
11	34
8	40
3	28
25	4
34	24
27	2
6	19
18	29
9	18
36	28
4	39
32	20
17	38
14	21
9	2
31	33
31	27
39	32
17	34
29	40
13	30
12	14
11	5
30	17
18	17
38	16
18	2
33	7
4	2
21	5
3	40
1	31
34	12
16	37
