4  80  2   2  2   3

32	23
36	14
30	7
10	25
8	34
39	4
14	2
40	21
16	12
37	17
19	38
31	31
7	16
35	22
20	35
29	15
8	24
8	26
26	25
17	39
13	10
4	36
9	33
2	38
21	40
37	36
7	17
20	36
19	13
24	6
14	24
27	39
40	29
17	21
7	39
31	3
5	18
28	31
17	18
5	40
32	19
37	5
1	8
10	33
10	17
24	27
7	2
20	9
27	31
1	7
11	30
3	18
23	33
9	23
15	12
8	15
33	20
32	25
16	2
20	17
17	12
15	40
22	10
32	28
2	2
27	10
18	35
10	9
32	24
30	26
7	25
15	24
6	27
9	32
36	28
38	25
1	28
31	15
40	37
8	34
