4  80   2   2    3   2


9	5
30	1
39	4
22	35
35	14
1	31
36	34
36	11
2	8
33	10
21	38
37	36
25	32
20	2
18	8
8	28
10	38
38	21
14	27
28	9
36	28
34	5
28	32
26	19
36	33
30	27
25	37
32	18
10	22
22	26
6	21
1	23
25	12
3	35
7	10
6	25
9	34
40	24
17	12
11	34
4	38
15	23
28	31
26	21
18	9
34	2
18	9
36	27
9	20
9	7
4	23
15	10
7	4
4	28
23	35
6	6
10	27
20	8
25	10
21	5
15	6
29	19
1	21
18	3
22	33
25	30
38	32
29	37
21	25
11	13
27	7
21	4
15	25
28	40
14	3
1	14
11	40
1	31
10	28
1	36
