4  80  3   3  3   4  3


18	16	7
15	35	1
26	34	18
28	32	35
33	37	34
3	38	8
26	20	12
20	18	28
17	5	35
38	25	27
27	35	25
9	38	8
18	30	29
23	6	5
33	9	36
6	23	20
21	21	14
5	5	10
27	23	7
30	24	39
18	18	9
30	17	14
19	32	24
9	27	3
6	10	19
2	35	26
3	18	14
20	22	25
14	32	31
16	12	39
33	20	20
11	11	2
24	32	38
34	2	36
35	6	26
7	29	40
19	35	32
30	23	23
9	31	39
31	36	6
26	39	2
40	4	31
12	39	18
15	35	18
36	10	30
10	12	14
16	4	21
7	30	4
31	33	34
29	17	30
13	10	17
16	15	21
27	14	17
25	28	7
29	31	19
22	28	9
24	4	31
2	10	25
26	30	7
28	2	27
27	25	27
27	3	3
11	7	19
6	9	28
37	1	34
21	13	29
23	37	21
4	28	29
28	31	10
1	34	9
28	14	8
30	7	24
24	23	22
19	18	1
35	24	4
24	15	19
34	11	37
13	26	8
16	5	13
3	7	18
