4  80  3   3   2   2  2


28	24	4
15	37	9
11	34	14
15	37	14
38	7	8
17	29	13
23	28	9
18	39	11
22	30	9
15	2	32
19	11	34
37	24	38
38	20	17
25	28	31
22	21	33
40	21	15
39	21	39
4	27	4
39	16	13
10	5	31
8	15	1
26	8	37
1	23	20
28	18	16
19	1	23
24	13	13
11	20	35
29	35	10
37	3	21
2	8	6
24	24	27
36	21	21
9	10	11
36	30	33
25	32	34
26	17	35
32	22	14
8	22	39
31	13	22
26	40	21
29	13	39
16	10	30
33	31	22
34	33	27
27	3	31
22	23	30
26	20	1
33	40	2
3	7	11
12	26	1
29	27	20
19	11	31
6	15	3
29	11	36
7	26	15
11	13	1
34	14	1
3	25	20
3	3	38
32	2	38
7	23	11
12	9	32
12	39	6
19	37	18
15	24	33
4	23	10
5	30	34
22	35	33
15	19	21
5	1	6
4	3	31
36	39	16
31	28	33
15	33	30
30	28	20
11	33	18
13	37	14
40	11	37
13	27	26
8	26	36
