4  80  3   3  2   2  3

4	4	22
4	18	17
34	34	4
21	22	14
9	40	23
24	11	19
22	6	25
24	9	40
1	1	3
37	12	3
6	22	1
40	3	21
36	26	30
32	1	13
17	15	28
39	22	22
39	27	20
30	24	35
14	23	37
13	6	38
10	20	13
38	26	21
8	1	18
26	13	31
34	18	8
12	8	9
34	15	19
37	40	5
9	36	14
34	26	30
34	27	11
2	40	16
39	39	5
36	22	35
1	40	15
22	1	39
33	11	5
26	22	28
38	31	3
12	29	11
22	5	35
1	13	28
23	6	36
23	8	15
34	24	24
39	23	13
16	39	8
7	14	10
24	39	37
1	17	28
39	30	23
34	3	39
40	5	1
3	8	38
31	3	14
37	36	36
8	25	37
2	39	7
36	29	14
17	34	37
1	16	10
19	39	32
32	28	7
2	21	6
7	26	1
14	15	34
8	11	20
27	12	30
40	30	29
29	34	5
27	17	3
17	31	26
7	5	38
8	6	36
21	33	32
1	32	24
18	29	34
2	17	26
22	34	33
38	20	23
